-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
October,22,785,886,"1,002",58.4,0.87,1.19,1.52,0.14,1.16,1.43,1.69,0.14
October,23,820,941,"1,069",70.5,0.94,1.27,1.62,0.15,1.24,1.52,1.81,0.16
October,24,872,"1,010","1,147",71.0,1.01,1.36,1.64,0.15,1.32,1.64,1.90,0.16
November,Monthly Average,682,889,"1,133",93.2,0.92,1.23,1.64,0.15,1.07,1.47,1.90,0.17
November,1,867,"1,002","1,093",51.9,1.20,1.43,1.56,0.08,1.38,1.67,1.85,0.10
November,2,895,"1,029","1,108",50.2,1.23,1.46,1.59,0.09,1.42,1.72,1.90,0.10
November,3,902,"1,044","1,133",52.0,1.24,1.47,1.64,0.09,1.43,1.74,1.90,0.11
November,4,879,"1,040","1,127",53.8,1.19,1.46,1.62,0.10,1.36,1.73,1.90,0.11
November,5,862,"1,014","1,092",53.1,1.16,1.42,1.57,0.09,1.33,1.68,1.84,0.11
November,6,808,959,"1,047",55.3,1.05,1.33,1.48,0.10,1.24,1.58,1.75,0.11
